asset,tf,leverage,channel,sl_atr,rr,adx_min,rsi,macd,return_pct,monthly_pct,wr,actual_rr,trades,tpd,liqs,ev
XRPUSDT,1h,20,12,1.5,2.5,off,off,off,650.18,8.779,29.11,8.542,79,0.108,0,1.7781
XRPUSDT,1h,20,12,1.5,2.5,off,on,off,650.18,8.779,29.11,8.542,79,0.108,0,1.7781
XRPUSDT,1h,20,16,1.5,2.5,off,on,off,401.67,6.966,31.82,3.241,176,0.241,2,0.3494
XRPUSDT,1h,20,16,1.5,2.5,off,off,off,401.67,6.966,31.82,3.241,176,0.241,2,0.3494
XRPUSDT,1h,5,12,1.0,2.5,25,off,off,378.62,6.756,15.62,10.949,32,0.044,0,0.867
XRPUSDT,1h,5,12,1.0,2.5,25,on,off,378.62,6.756,15.62,10.949,32,0.044,0,0.867
XRPUSDT,1h,5,8,1.5,3.0,off,off,on,298.14,5.939,18.6,7.748,43,0.059,0,0.6276
XRPUSDT,1h,5,8,1.5,3.0,off,on,on,298.14,5.939,18.6,7.748,43,0.059,0,0.6276
XRPUSDT,1h,10,16,1.0,3.0,off,off,off,289.41,5.841,20.0,6.292,45,0.062,0,0.4583
XRPUSDT,1h,10,16,1.0,3.0,off,on,off,289.41,5.841,20.0,6.292,45,0.062,0,0.4583
XRPUSDT,1h,5,12,2.0,2.0,off,on,on,282.57,5.762,16.67,9.243,36,0.049,0,0.7072
XRPUSDT,1h,5,12,2.0,2.0,off,off,on,282.57,5.762,16.67,9.243,36,0.049,0,0.7072
XRPUSDT,1h,15,12,1.5,2.5,25,off,off,277.48,5.703,40.68,1.676,263,0.361,11,0.0886
XRPUSDT,1h,15,12,1.5,2.5,25,on,off,277.48,5.703,40.68,1.676,263,0.361,11,0.0886
XRPUSDT,1h,15,16,1.5,2.0,off,on,off,276.47,5.692,30.0,4.797,70,0.096,0,0.7392
XRPUSDT,1h,15,16,1.5,2.0,off,off,off,276.47,5.692,30.0,4.797,70,0.096,0,0.7392
