label,asset,tf,lev,ch,sl,rr,adx,rsi,macd,vol_filter,body_filter,ret_pct,monthly_pct,wr,actual_rr,trades,liqs,delta_monthly
ETH 1h  (consv),ETHUSDT,1h,10,8,2.0,2.0,0.0,True,False,False,False,-61.9,-3.94,38.3,0.94,1031,4,0.0
ETH 1h  (consv),ETHUSDT,1h,10,8,2.0,2.0,0.0,True,False,False,True,-48.97,-2.76,38.5,0.96,976,2,1.18
ETH 1h  (consv),ETHUSDT,1h,10,8,2.0,2.0,0.0,True,False,True,False,-38.19,-1.98,38.9,0.97,758,5,1.96
ETH 1h  (consv),ETHUSDT,1h,10,8,2.0,2.0,0.0,True,False,True,True,-9.18,-0.4,39.7,1.03,697,3,3.54
XRP 1h  (consv),XRPUSDT,1h,10,16,1.0,3.0,0.0,False,False,False,False,-81.33,-6.75,26.7,0.91,845,3,0.0
XRP 1h  (consv),XRPUSDT,1h,10,16,1.0,3.0,0.0,False,False,False,True,-87.37,-8.26,25.7,0.84,799,4,-1.51
XRP 1h  (consv),XRPUSDT,1h,10,16,1.0,3.0,0.0,False,False,True,False,-62.57,-4.01,27.9,0.94,660,3,2.74
XRP 1h  (consv),XRPUSDT,1h,10,16,1.0,3.0,0.0,False,False,True,True,-75.6,-5.71,26.5,0.87,619,4,1.04
BTC 4h  (consv),BTCUSDT,4h,10,8,1.5,2.0,0.0,True,True,False,False,74.22,2.34,46.9,1.44,213,0,0.0
BTC 4h  (consv),BTCUSDT,4h,10,8,1.5,2.0,0.0,True,True,False,True,63.46,2.07,47.0,1.42,202,0,-0.27
BTC 4h  (consv),BTCUSDT,4h,10,8,1.5,2.0,0.0,True,True,True,False,42.71,1.49,45.1,1.35,162,0,-0.85
BTC 4h  (consv),BTCUSDT,4h,10,8,1.5,2.0,0.0,True,True,True,True,43.41,1.51,46.1,1.38,154,0,-0.83
BNB 4h  (consv),BNBUSDT,4h,10,16,1.5,3.0,25.0,True,False,False,False,56.92,1.9,43.9,1.61,107,1,0.0
BNB 4h  (consv),BNBUSDT,4h,10,16,1.5,3.0,25.0,True,False,False,True,46.94,1.62,43.0,1.53,100,1,-0.28
BNB 4h  (consv),BNBUSDT,4h,10,16,1.5,3.0,25.0,True,False,True,False,53.44,1.8,44.9,1.67,89,1,-0.1
BNB 4h  (consv),BNBUSDT,4h,10,16,1.5,3.0,25.0,True,False,True,True,43.13,1.51,43.4,1.58,83,1,-0.39
ADA 4h  (consv),ADAUSDT,4h,10,16,2.0,2.5,0.0,True,True,False,False,36.91,1.32,44.0,1.27,184,8,0.0
ADA 4h  (consv),ADAUSDT,4h,10,16,2.0,2.5,0.0,True,True,False,True,39.99,1.41,44.3,1.3,176,7,0.09
ADA 4h  (consv),ADAUSDT,4h,10,16,2.0,2.5,0.0,True,True,True,False,31.08,1.13,43.3,1.3,150,8,-0.18
ADA 4h  (consv),ADAUSDT,4h,10,16,2.0,2.5,0.0,True,True,True,True,32.61,1.18,43.7,1.32,142,7,-0.13
ETH 1h  (optim),ETHUSDT,1h,20,12,1.0,2.5,0.0,True,True,False,False,-81.8,-6.85,28.9,0.85,643,2,0.0
ETH 1h  (optim),ETHUSDT,1h,20,12,1.0,2.5,0.0,True,True,False,True,-77.2,-5.97,29.3,0.85,598,1,0.88
ETH 1h  (optim),ETHUSDT,1h,20,12,1.0,2.5,0.0,True,True,True,False,-66.67,-4.47,30.0,0.9,524,2,2.38
ETH 1h  (optim),ETHUSDT,1h,20,12,1.0,2.5,0.0,True,True,True,True,-65.44,-4.33,29.9,0.88,482,2,2.52
XRP 1h  (optim),XRPUSDT,1h,20,12,1.5,2.5,0.0,False,False,False,False,-57.99,-3.55,32.6,0.98,915,47,0.0
XRP 1h  (optim),XRPUSDT,1h,20,12,1.5,2.5,0.0,False,False,False,True,-67.4,-4.56,31.8,0.95,868,45,-1.01
XRP 1h  (optim),XRPUSDT,1h,20,12,1.5,2.5,0.0,False,False,True,False,-35.46,-1.81,33.3,1.0,700,34,1.74
XRP 1h  (optim),XRPUSDT,1h,20,12,1.5,2.5,0.0,False,False,True,True,-50.99,-2.93,32.3,0.97,656,33,0.62
ADA 4h  (optim),ADAUSDT,4h,5,8,2.0,2.5,0.0,False,True,False,False,37.78,1.34,44.7,1.26,206,0,0.0
ADA 4h  (optim),ADAUSDT,4h,5,8,2.0,2.5,0.0,False,True,False,True,42.3,1.48,44.7,1.3,197,0,0.14
ADA 4h  (optim),ADAUSDT,4h,5,8,2.0,2.5,0.0,False,True,True,False,29.85,1.09,43.3,1.28,157,0,-0.25
ADA 4h  (optim),ADAUSDT,4h,5,8,2.0,2.5,0.0,False,True,True,True,34.69,1.25,43.9,1.34,148,0,-0.1
